Grade,createdtime,five,four,gradePeople,movieDate,name,one,three,two
6.8,2018-02-06 16:30:48.374688,53%,13%,1049,2016-06-09,泰迪熊之玩具大战,17%,12%,5%
8.5,2018-02-06 16:30:49.817221,60%,20%,324,2017-01-13,我的诗篇,2%,17%,2%
7.8,2018-02-06 16:30:50.889959,50%,11%,214,2016-04-02,太空熊猫英雄归来,13%,18%,8%
7.0,2018-02-06 16:30:52.330625,82%,6%,5,2017-09-29,芳华,6%,6%,0%
,2018-02-06 16:30:53.832008,,,,2018-07,动物世界,,,
,2018-02-06 16:30:55.011602,,,,2018-07,美食大冒险,,,
,2018-02-06 16:30:56.107513,,,,2018-07-27,狄仁杰之四大天王,,,
,2018-02-06 16:30:57.619973,,,,2018-05-01,幕后玩家,,,
,2018-02-06 16:30:58.800035,,,,,深海越狱,,,
,2018-02-06 16:30:59.951905,,,,2018-03,追·踪,,,
,2018-02-06 16:31:01.349359,,,,2018-02-16,唐人街探案2,,,
,2018-02-06 16:31:02.845099,,,,2018-02-16,西游记女儿国,,,
,2018-02-06 16:31:04.761530,,,,2018,钢铁苍穹：方舟,,,
,2018-02-06 16:31:05.035306,,,,2018,移动迷宫3：死亡解药,,,
,2018-02-06 16:31:06.471996,,,,,艽野尘梦,,,
,2018-02-06 16:31:07.965221,,,,中国,一千零一夜之拯救黄金城,,,
,2018-02-06 16:31:08.980730,,,,2019,魂斗罗,,,
,2018-02-06 16:31:10.397598,,,,2019,影,,,
,2018-02-06 16:31:11.882117,,,,澳大,怪物女孩,,,
,2018-02-06 16:31:12.896189,,,,2019-02-05,疯狂的外星人,,,
,2018-02-06 16:31:14.038664,,,,2018,红楼梦,,,
,2018-02-06 16:31:15.181981,,,,2018,如影随心,,,
,2018-02-06 16:31:16.658839,,,,2018,午夜慢车,,,
,2018-02-06 16:31:17.425381,,,,2018,草样年华,,,
,2018-02-06 16:31:18.335188,,,,2018,谜踪,,,
,2018-02-06 16:31:19.660734,,,,2018,超时空同居,,,
,2018-02-06 16:31:21.139724,,,,中国,查理九世,,,
,2018-02-06 16:31:22.558780,,,,2018,慌枪走板,,,
,2018-02-06 16:31:23.914906,,,,2018,功夫联盟,,,
,2018-02-06 16:31:25.134276,,,,2018,靠谱兄弟,,,
,2018-02-06 16:31:26.150056,,,,2018,完美魔咒,,,
,2018-02-06 16:31:27.300404,,,,2018,不老奇事,,,
,2018-02-06 16:31:28.497709,,,,2018,铜锣湾风云,,,
,2018-02-06 16:31:29.986564,,,,2018,淡蓝琥珀,,,
,2018-02-06 16:31:31.392691,,,,2018,反贪风暴3,,,
,2018-02-06 16:31:32.272701,,,,2018,泄密行者,,,
,2018-02-06 16:31:33.743800,,,,2018,头号玩家,,,
,2018-02-06 16:31:35.152587,,,,2018,飞火流星,,,
,2018-02-06 16:31:36.485367,,,,汉语普,真·三国无双,,,
,2018-02-06 16:31:37.302434,,,,2018,江湖儿女,,,
,2018-02-06 16:31:38.004269,,,,2018,天狼,,,
,2018-02-06 16:31:39.614639,,,,2018,欢迎来到熊仁镇,,,
,2018-02-06 16:31:40.534452,,,,2018,钢铁镇：龙族之战,,,
,2018-02-06 16:31:41.477865,,,,2018,我的美利坚女友,,,
,2018-02-06 16:31:42.850048,,,,2018,大护法2,,,
,2018-02-06 16:31:44.245168,,,,中国,初吻（中国版）,,,
,2018-02-06 16:31:45.343846,,,,2018,三毛历险记,,,
,2018-02-06 16:31:46.754573,,,,2018,武林怪兽,,,
,2018-02-06 16:31:48.078597,,,,2018,派对把妹秘诀,,,
,2018-02-06 16:31:49.236265,,,,2018,奇幻之旅（2018）,,,
,2018-02-06 16:31:50.522152,,,,2018,张天志,,,
,2018-02-06 16:31:51.990395,,,,2018,三好差生,,,
,2018-02-06 16:31:53.450399,,,,2018,老家伙,,,
,2018-02-06 16:31:54.878777,,,,2018,猎魔行动,,,
,2018-02-06 16:31:56.114662,,,,2018,李娜,,,
,2018-02-06 16:31:57.423366,,,,2018,星球大战汉·索罗外传,,,
,2018-02-06 16:31:58.820034,,,,2018,阿修罗（2018）,,,
,2018-02-06 16:32:00.122878,,,,2018,黑豹,,,
,2018-02-06 16:32:01.464931,,,,2018,复仇者联盟3：无限战争,,,
,2018-02-06 16:32:02.856461,,,,,金蝉脱壳2,,,
,2018-02-06 16:32:04.205938,,,,2018,环太平洋2：雷霆再起,,,
,2018-02-06 16:32:05.401451,,,,2018-07,昨日青空,,,
,2018-02-06 16:32:06.907023,,,,2018-02-16,捉妖记2,,,
,2018-02-06 16:32:07.981183,,,,中国,营救汪星人,,,
