Grade,createdtime,five,four,gradePeople,movieDate,name,one,three,two
6.8,2018-02-06 16:24:10.100684,53%,13%,1049,2016-06-09,泰迪熊之玩具大战,17%,12%,5%
8.5,2018-02-06 16:24:10.972325,60%,20%,324,2017-01-13,我的诗篇,2%,17%,2%
7.8,2018-02-06 16:24:11.837062,50%,11%,214,2016-04-02,太空熊猫英雄归来,13%,18%,8%
7.0,2018-02-06 16:24:12.749320,82%,6%,5,2017-09-29,芳华,6%,6%,0%
,2018-02-06 16:24:14.197703,,,,2018-07,动物世界,,,
,2018-02-06 16:24:15.290664,,,,2018-07,美食大冒险,,,
,2018-02-06 16:24:16.420332,,,,2018-07-27,狄仁杰之四大天王,,,
,2018-02-06 16:24:17.480759,,,,2018-05-01,幕后玩家,,,
,2018-02-06 16:24:18.866381,,,,,深海越狱,,,
,2018-02-06 16:24:20.308280,,,,2018-03,追·踪,,,
,2018-02-06 16:24:21.606509,,,,2018-02-16,唐人街探案2,,,
,2018-02-06 16:24:22.921875,,,,2018-02-16,西游记女儿国,,,
,2018-02-06 16:24:24.192240,,,,2018,钢铁苍穹：方舟,,,
,2018-02-06 16:24:25.693331,,,,2018,移动迷宫3：死亡解药,,,
,2018-02-06 16:24:27.095238,,,,,艽野尘梦,,,
,2018-02-06 16:24:28.499160,,,,中国,一千零一夜之拯救黄金城,,,
,2018-02-06 16:24:29.950374,,,,2019,魂斗罗,,,
,2018-02-06 16:24:30.795004,,,,2019,影,,,
,2018-02-06 16:24:32.135953,,,,澳大,怪物女孩,,,
,2018-02-06 16:24:33.599440,,,,2019-02-05,疯狂的外星人,,,
,2018-02-06 16:24:34.512297,,,,2018,红楼梦,,,
,2018-02-06 16:24:35.891601,,,,2018,如影随心,,,
,2018-02-06 16:24:37.001307,,,,2018,午夜慢车,,,
,2018-02-06 16:24:38.045187,,,,2018,草样年华,,,
,2018-02-06 16:24:39.494386,,,,2018,谜踪,,,
,2018-02-06 16:24:40.782256,,,,2018,超时空同居,,,
,2018-02-06 16:24:41.958609,,,,中国,查理九世,,,
,2018-02-06 16:24:43.161090,,,,2018,慌枪走板,,,
,2018-02-06 16:24:44.473703,,,,2018,功夫联盟,,,
,2018-02-06 16:24:45.838215,,,,2018,靠谱兄弟,,,
,2018-02-06 16:24:46.700715,,,,2018,完美魔咒,,,
,2018-02-06 16:24:47.968707,,,,2018,不老奇事,,,
,2018-02-06 16:24:49.468678,,,,2018,铜锣湾风云,,,
,2018-02-06 16:24:50.572361,,,,2018,淡蓝琥珀,,,
,2018-02-06 16:24:51.872845,,,,2018,反贪风暴3,,,
,2018-02-06 16:24:53.316428,,,,2018,泄密行者,,,
,2018-02-06 16:24:54.578187,,,,2018,头号玩家,,,
,2018-02-06 16:24:56.043821,,,,2018,飞火流星,,,
,2018-02-06 16:24:57.349673,,,,汉语普,真·三国无双,,,
,2018-02-06 16:24:58.726816,,,,2018,江湖儿女,,,
,2018-02-06 16:24:59.850490,,,,2018,天狼,,,
,2018-02-06 16:25:00.740624,,,,2018,欢迎来到熊仁镇,,,
,2018-02-06 16:25:01.903118,,,,2018,钢铁镇：龙族之战,,,
,2018-02-06 16:25:03.336521,,,,2018,我的美利坚女友,,,
,2018-02-06 16:25:04.681540,,,,2018,大护法2,,,
,2018-02-06 16:25:06.056119,,,,中国,初吻（中国版）,,,
,2018-02-06 16:25:07.498959,,,,2018,三毛历险记,,,
,2018-02-06 16:25:08.508490,,,,2018,武林怪兽,,,
,2018-02-06 16:25:09.842506,,,,2018,派对把妹秘诀,,,
,2018-02-06 16:25:11.204047,,,,2018,奇幻之旅（2018）,,,
,2018-02-06 16:25:12.652278,,,,2018,张天志,,,
,2018-02-06 16:25:14.073499,,,,2018,三好差生,,,
,2018-02-06 16:25:15.159933,,,,2018,老家伙,,,
,2018-02-06 16:25:15.998291,,,,2018,猎魔行动,,,
,2018-02-06 16:25:17.120352,,,,2018,李娜,,,
,2018-02-06 16:25:18.562250,,,,2018,星球大战汉·索罗外传,,,
,2018-02-06 16:25:19.641911,,,,2018,阿修罗（2018）,,,
,2018-02-06 16:25:21.078603,,,,2018,黑豹,,,
,2018-02-06 16:25:22.384561,,,,2018,复仇者联盟3：无限战争,,,
,2018-02-06 16:25:23.521770,,,,,金蝉脱壳2,,,
,2018-02-06 16:25:24.684349,,,,2018,环太平洋2：雷霆再起,,,
,2018-02-06 16:25:25.948396,,,,2018-07,昨日青空,,,
,2018-02-06 16:25:27.193812,,,,2018-02-16,捉妖记2,,,
,2018-02-06 16:25:28.539050,,,,中国,营救汪星人,,,
